age,income,score,height,color,city,education,satisfaction,purchased
56.0,126091.0,51.19,166.1,Red,DAL,High School,Neutral,Yes
69.0,81465.0,45.68,157.4,Red,DAL,Bachelors,Neutral,No
46.0,129500.0,52.75,182.1,Green,LA,,,Yes
32.0,106436.0,35.13,171.4,Green,DAL,Bachelors,,No
60.0,138422.0,51.58,171.4,Red,CHI,PhD,Satisfied,No
25.0,144124.0,52.26,163.7,Blue,NY,High School,,Yes
78.0,107892.0,27.45,163.8,Green,HOU,High School,Satisfied,Yes
38.0,108559.0,64.94,178.5,Black,CHI,Bachelors,Unsatisfied,No
56.0,140044.0,36.78,179.8,Red,NY,PhD,Unsatisfied,Yes
75.0,59148.0,51.35,177.8,Black,CHI,High School,,No
36.0,102928.0,67.47,177.9,Black,DAL,PhD,Neutral,No
40.0,40698.0,63.89,175.7,Black,HOU,Bachelors,Very Satisfied,No
28.0,62470.0,50.52,171.3,Red,CHI,,Unsatisfied,No
28.0,112071.0,44.56,168.2,Yellow,HOU,PhD,Very Unsatisfied,Yes
41.0,71660.0,64.21,182.1,Green,LA,High School,Neutral,Yes
70.0,73910.0,60.12,166.3,Black,LA,Bachelors,Very Satisfied,Yes
,55450.0,40.72,173.7,Red,DAL,PhD,Neutral,Yes
57.0,76463.0,38.08,162.0,Yellow,DAL,Masters,Very Satisfied,No
41.0,53757.0,18.91,163.4,Red,LA,,Unsatisfied,No
20.0,98012.0,52.31,167.6,Green,CHI,PhD,Neutral,No
39.0,126750.0,48.76,162.0,Red,NY,Masters,Neutral,Yes
70.0,147043.0,67.04,178.0,Blue,NY,Bachelors,,Yes
19.0,90247.0,55.39,156.5,Blue,LA,High School,,No
41.0,,70.01,171.0,Black,NY,Bachelors,Very Satisfied,Yes
61.0,51390.0,39.54,171.3,Red,CHI,Bachelors,Very Unsatisfied,Yes
47.0,76116.0,67.07,151.9,Red,NY,Bachelors,Very Satisfied,Yes
55.0,33161.0,42.07,165.6,Black,NY,PhD,Neutral,No
19.0,52152.0,61.66,172.6,Black,LA,PhD,Satisfied,No
77.0,100171.0,28.12,174.3,Yellow,HOU,Bachelors,Neutral,Yes
38.0,126379.0,53.53,168.0,Red,HOU,Bachelors,Unsatisfied,No
50.0,115833.0,20.23,176.8,Green,CHI,Masters,Very Satisfied,No
29.0,40836.0,45.99,168.9,Green,HOU,Masters,Very Unsatisfied,No
75.0,110367.0,56.61,170.1,Green,DAL,,Neutral,No
39.0,86543.0,42.19,172.5,Black,LA,,Very Satisfied,Yes
78.0,75648.0,34.24,179.3,Black,HOU,,Very Unsatisfied,Yes
61.0,46331.0,62.69,163.2,Black,NY,Masters,Neutral,No
42.0,125992.0,48.45,165.1,Green,HOU,Bachelors,Satisfied,No
66.0,30763.0,42.66,163.3,Yellow,LA,Masters,Satisfied,No
44.0,89444.0,50.63,166.7,Blue,NY,Masters,Neutral,No
76.0,113109.0,89.55,184.3,Red,NY,,Unsatisfied,Yes
59.0,39187.0,67.3,175.7,Blue,LA,PhD,Satisfied,Yes
45.0,31957.0,67.44,158.7,Red,CHI,Bachelors,Very Satisfied,Yes
77.0,24379.0,56.53,164.0,Black,CHI,High School,Unsatisfied,No
33.0,47959.0,52.5,173.7,Green,LA,Bachelors,Unsatisfied,No
32.0,102018.0,14.06,160.9,Blue,LA,High School,Neutral,Yes
79.0,143076.0,39.82,162.7,Black,LA,High School,,Yes
79.0,47105.0,42.79,183.4,Red,NY,PhD,Very Satisfied,Yes
64.0,20877.0,21.88,163.9,Blue,NY,,Very Unsatisfied,No
79.0,68353.0,32.64,179.5,Blue,LA,High School,Satisfied,No
68.0,103788.0,20.29,182.6,Blue,NY,PhD,Satisfied,No
61.0,116870.0,49.43,162.7,Blue,DAL,PhD,Unsatisfied,No
72.0,104585.0,62.28,161.1,Blue,LA,PhD,,Yes
69.0,103308.0,66.6,167.2,Black,NY,Masters,Neutral,No
74.0,71567.0,56.22,159.1,Red,CHI,High School,Very Satisfied,No
20.0,77913.0,35.55,171.2,Red,LA,Masters,Satisfied,Yes
54.0,22637.0,21.02,167.9,Yellow,LA,High School,Very Unsatisfied,Yes
68.0,92778.0,23.65,173.6,Green,LA,Masters,,No
24.0,62025.0,30.97,184.0,Blue,HOU,High School,Satisfied,Yes
38.0,126917.0,36.67,178.2,,LA,PhD,Satisfied,Yes
26.0,121187.0,47.6,174.9,Green,CHI,PhD,,Yes
56.0,119508.0,34.79,150.3,Green,NY,Bachelors,Very Satisfied,Yes
35.0,102464.0,55.08,174.4,,LA,Masters,Very Satisfied,No
21.0,48742.0,46.52,187.2,Blue,DAL,PhD,,Yes
42.0,31831.0,50.16,139.9,Yellow,NY,Bachelors,Very Satisfied,Yes
77.0,133768.0,67.1,176.9,Green,CHI,Bachelors,Neutral,Yes
31.0,135911.0,32.3,168.4,Black,HOU,High School,Unsatisfied,Yes
67.0,105092.0,56.28,161.5,,CHI,PhD,Unsatisfied,No
75.0,110879.0,49.79,178.0,Red,HOU,PhD,Very Satisfied,Yes
26.0,108370.0,45.0,187.1,Yellow,NY,Bachelors,Satisfied,No
43.0,146537.0,63.28,177.8,Blue,HOU,Bachelors,Satisfied,No
70.0,66762.0,63.19,166.3,Black,NY,Bachelors,Satisfied,Yes
19.0,124824.0,35.8,160.6,Black,CHI,High School,Very Satisfied,No
37.0,118958.0,47.27,171.4,Black,CHI,High School,Satisfied,Yes
45.0,108741.0,54.22,178.7,Black,HOU,High School,Very Satisfied,Yes
64.0,38830.0,45.9,166.1,Black,DAL,Bachelors,Very Unsatisfied,Yes
77.0,75044.0,58.78,167.1,Yellow,CHI,High School,Very Satisfied,Yes
24.0,93948.0,54.22,198.2,Green,HOU,Masters,Neutral,No
61.0,89202.0,77.49,180.8,Green,LA,Bachelors,Satisfied,Yes
78.0,57045.0,27.05,181.5,Red,NY,,Satisfied,Yes
25.0,106322.0,48.16,155.4,Green,LA,Masters,Unsatisfied,Yes
64.0,137257.0,36.37,162.9,Black,LA,Masters,Very Satisfied,Yes
52.0,91051.0,59.06,170.7,Green,LA,PhD,Very Unsatisfied,No
31.0,127509.0,25.74,160.0,Green,HOU,Masters,Satisfied,Yes
34.0,46627.0,55.19,186.0,Black,CHI,High School,Unsatisfied,No
53.0,35198.0,40.55,184.1,Yellow,LA,Bachelors,Very Satisfied,Yes
67.0,89521.0,38.99,164.7,Black,HOU,Bachelors,Unsatisfied,No
57.0,131439.0,28.3,187.8,Green,CHI,Bachelors,Very Unsatisfied,Yes
21.0,126471.0,43.02,170.0,Green,NY,PhD,Very Satisfied,Yes
19.0,49475.0,66.27,195.9,Red,CHI,High School,Satisfied,Yes
79.0,125752.0,49.62,171.4,Black,CHI,High School,,No
23.0,138998.0,59.42,175.8,Red,LA,High School,Satisfied,No
71.0,39403.0,74.97,184.0,Red,HOU,PhD,Neutral,Yes
,23681.0,53.96,182.8,Blue,DAL,Bachelors,Satisfied,No
21.0,111555.0,41.62,175.1,Red,NY,Bachelors,,No
71.0,138884.0,57.01,168.6,Green,HOU,Bachelors,Very Unsatisfied,No
46.0,113122.0,41.84,175.1,Green,LA,High School,Very Satisfied,No
35.0,,42.43,161.8,Blue,HOU,High School,Neutral,Yes
43.0,62292.0,27.2,171.5,Blue,DAL,PhD,Neutral,Yes
61.0,123057.0,63.89,158.9,Black,NY,High School,Neutral,Yes
51.0,125386.0,44.21,152.2,Blue,CHI,PhD,Unsatisfied,No
27.0,122306.0,52.73,170.5,Yellow,NY,PhD,Satisfied,No
79.0,25629.0,34.46,182.6,Green,DAL,Bachelors,Neutral,No
53.0,113246.0,56.54,179.3,Green,NY,Bachelors,,No
31.0,115864.0,38.57,169.2,Blue,NY,Masters,,Yes
48.0,97814.0,47.87,187.5,Blue,LA,High School,Very Satisfied,Yes
65.0,28417.0,63.17,164.3,Green,CHI,PhD,Very Unsatisfied,No
32.0,138888.0,61.86,150.8,Blue,DAL,Bachelors,Satisfied,No
25.0,54765.0,49.67,148.2,Black,LA,Bachelors,Satisfied,Yes
31.0,94499.0,23.48,158.2,Blue,NY,High School,,No
40.0,134088.0,94.89,178.2,Blue,NY,PhD,Satisfied,No
77.0,76574.0,76.19,163.7,Black,HOU,,Satisfied,No
74.0,122828.0,60.84,174.6,Black,LA,Masters,Neutral,No
79.0,110545.0,38.7,186.5,Black,DAL,PhD,Very Satisfied,No
57.0,148206.0,48.3,159.0,Green,DAL,PhD,Satisfied,No
38.0,47675.0,41.85,174.8,Blue,DAL,High School,Satisfied,Yes
,145609.0,68.96,175.4,Black,DAL,Masters,,No
62.0,121711.0,53.94,161.4,Black,NY,,Very Satisfied,Yes
35.0,92267.0,38.24,183.5,Green,NY,,Neutral,Yes
64.0,60563.0,42.94,167.1,Yellow,LA,,,No
70.0,31332.0,66.82,166.2,Blue,CHI,PhD,Unsatisfied,No
41.0,143745.0,74.0,191.1,Yellow,DAL,Bachelors,Very Satisfied,Yes
43.0,39177.0,72.92,175.2,Yellow,NY,Bachelors,Satisfied,Yes
42.0,109254.0,61.36,179.3,Black,LA,High School,Neutral,No
