age,income,score,height,color,city,education,satisfaction,purchased
56.0,,74.14,172.6,Blue,NY,PhD,Very Satisfied,No
69.0,133561.0,,150.6,,NY,High School,Very Satisfied,Yes
46.0,,63.03,177.4,,,,Satisfied,No
32.0,,25.7,152.1,Yellow,LA,Bachelors,Unsatisfied,
60.0,149848.0,30.92,163.2,Red,HOU,PhD,Satisfied,No
25.0,142872.0,38.12,177.1,,CHI,High School,Very Satisfied,Yes
78.0,107606.0,,161.0,Green,HOU,Masters,Unsatisfied,No
,,65.36,163.0,Blue,LA,High School,Neutral,No
56.0,94830.0,,,Blue,NY,High School,Unsatisfied,Yes
75.0,52256.0,,171.9,Green,HOU,Bachelors,Unsatisfied,Yes
36.0,118983.0,40.15,184.3,Blue,,Bachelors,Neutral,No
40.0,27190.0,50.95,177.6,Blue,DAL,Bachelors,Satisfied,Yes
28.0,,65.53,158.6,Green,LA,PhD,Very Satisfied,Yes
28.0,,59.48,172.1,Black,NY,Bachelors,Neutral,Yes
41.0,31561.0,58.39,161.8,,DAL,High School,,Yes
70.0,40431.0,22.2,191.7,Green,LA,High School,Neutral,Yes
53.0,49617.0,40.73,179.7,Yellow,LA,High School,Neutral,No
,,51.92,158.5,Black,LA,Bachelors,Very Satisfied,No
41.0,129319.0,,,Green,DAL,Masters,Unsatisfied,Yes
20.0,116931.0,42.13,186.8,Blue,CHI,Bachelors,Satisfied,No
39.0,20009.0,,182.2,Yellow,LA,Bachelors,Very Unsatisfied,No
70.0,134291.0,64.79,189.0,Black,CHI,PhD,Unsatisfied,Yes
19.0,,55.09,184.6,Black,CHI,PhD,Satisfied,Yes
41.0,100739.0,63.12,178.0,Green,LA,High School,Satisfied,No
61.0,63791.0,85.56,172.2,Blue,DAL,PhD,,Yes
47.0,148157.0,,163.8,Yellow,DAL,,Very Unsatisfied,Yes
55.0,141151.0,53.94,177.9,Red,CHI,High School,Neutral,Yes
19.0,146827.0,46.46,175.6,Red,NY,Bachelors,Satisfied,No
77.0,90857.0,67.66,159.2,Red,HOU,Masters,Neutral,Yes
38.0,73368.0,64.87,184.6,Green,CHI,Masters,Very Satisfied,No
50.0,95914.0,47.81,162.1,,,Bachelors,,
29.0,,,177.4,Blue,LA,High School,Unsatisfied,Yes
75.0,68847.0,65.32,,Black,LA,Masters,Neutral,No
39.0,142422.0,60.82,,Yellow,DAL,High School,Unsatisfied,Yes
78.0,93042.0,,189.2,Blue,CHI,PhD,Very Satisfied,
61.0,95755.0,54.04,160.6,Red,CHI,Bachelors,Very Satisfied,No
42.0,,45.02,163.7,Yellow,DAL,Bachelors,Very Satisfied,No
66.0,54224.0,,171.6,Blue,DAL,Masters,Very Unsatisfied,Yes
44.0,118347.0,53.11,156.0,,LA,High School,Very Unsatisfied,Yes
76.0,60094.0,,,Yellow,NY,High School,Very Satisfied,Yes
59.0,,,168.3,Red,NY,PhD,Very Unsatisfied,No
45.0,,,187.1,Green,DAL,High School,Very Unsatisfied,Yes
77.0,114305.0,64.62,185.7,Red,NY,Masters,Neutral,Yes
33.0,146489.0,29.43,,Green,CHI,Masters,Very Unsatisfied,No
